Nitrogen,Phosphorus,Potassium,Soil Temperature,Moisture,pH,Humidity,Air Temperature,Crop
17,136,196,23.87,44,6.83,90.5,23.56,Tomato
33,134,205,21.04,45,7.06,94.34,23.52,Tomato
16,143,197,22.62,45,7.11,93.52,23.41,Tomato
27,120,200,21.45,46,7.67,90.75,23.66,Tomato
29,145,205,22.81,46,7.86,92.13,23.78,Tomato
3,141,197,21.98,49,6.44,91.13,23.89,Tomato
15,123,204,22.53,48,6.15,92.55,23.98,Tomato
5,136,195,22.36,48,6.92,91.92,23.99,Tomato
10,136,204,21.2,51,6.75,92.16,24,Tomato
7,141,195,23.88,51,7.23,93.45,24.22,Tomato
2,129,201,22.78,53,6.93,94.37,24.57,Tomato
29,138,197,22.19,54,6.56,92.44,24.98,Tomato
30,137,200,22.91,52,6.63,90.7,24.66,Tomato
29,132,204,23.09,52,6.55,90.23,24.78,Tomato
14,139,197,21.72,59,6.82,92.84,24.53,Tomato
18,125,203,22.44,58,7.04,91.59,24.61,Tomato
33,143,204,21.13,59,7.48,91.96,24.71,Tomato
40,144,196,22.72,57,7.21,92.25,24.31,Tomato
9,143,197,23.75,58,7.07,92.88,24.35,Tomato
38,135,203,23.76,59,7.92,93.66,24.45,Tomato
28,130,196,22.13,54,7.27,94.68,24.47,Tomato
35,142,203,21.17,53,6.54,90.24,24.48,Tomato
12,129,205,22.36,53,6.66,91.16,24.59,Tomato
1,135,203,22.78,61,7.12,92.7,24.55,Tomato
0,145,205,21.23,61,6.66,90.1,24.3,Tomato
31,121,201,23.16,65,6.52,90.34,24.3,Tomato
35,131,203,22.43,67,6.52,93.92,23.47,Tomato
29,140,195,23.64,66,6.79,90.95,23.38,Tomato
33,138,198,22.29,66,7.07,90.69,24.57,Tomato
14,140,197,23.35,68,6.31,90.9,22.94,Tomato
35,145,195,22.04,69,7.86,94.58,24.96,Tomato
40,120,197,23.81,68,6.87,92.49,21.17,Tomato
25,132,198,22.32,65,7.05,90.85,24.71,Tomato
31,137,196,22.14,64,6.1,93.83,25.97,Tomato
36,144,196,23.65,63,7.13,94.51,24.93,Tomato
10,140,197,22.17,61,7.1,90.27,25.77,Tomato
61,68,50,25.21,88,5.46,91.5,22.6,Potato
58,46,45,22.39,58,6.99,90.79,29.72,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
45,47,55,27.42,69,5.75,91.14,33.1,BR3_BR16_BRRIdhan27_BRRIdhan48
70,68,45,28.84,62,5.18,92.85,25.5,Potato
68,62,50,28.2,95,5.38,92.76,26.7,Potato
69,64,47,23.21,95,5.43,94.51,27.15,Potato
58,51,47,23.13,96,7.17,91.7,27.36,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
59,47,53,22.86,81,5.38,91.46,26.47,Potato
44,64,54,22.81,92,7.11,91.38,30.72,BR3_BR16_BRRIdhan27_BRRIdhan48
56,57,48,21.56,38,5.92,93.05,29.77,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
69,60,54,26.32,45,5.22,93.06,27.64,Potato
56,58,49,27.13,62,7.11,94.61,29.34,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
49,55,53,27.44,34,6.85,93.64,27.74,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
54,65,47,27.93,35,6,91.56,26.97,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
57,57,51,39.02,64,5.61,91.49,30.92,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
58,67,45,26.72,42,7.13,91.73,27.87,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
61,64,52,23.3,33,5.43,92.83,25.78,Potato
47,46,52,23.19,65,6.63,91.4,30.72,BR3_BR16_BRRIdhan27_BRRIdhan48
61,51,51,27.3,49,5.12,94.16,24.73,Potato
70,54,46,27.73,34,5.47,91.12,26.72,Potato
44,56,49,27.23,39,6.42,91.26,32.65,BR3_BR16_BRRIdhan27_BRRIdhan48
50,59,47,20.77,52,6.1,92.09,28.52,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
44,60,55,24.28,33,6.73,90.56,29.55,BR3_BR16_BRRIdhan27_BRRIdhan48
65,62,51,24.53,39,5.22,90.87,26.11,Potato
44,57,53,22.3,44,7.08,90.51,31.26,BR3_BR16_BRRIdhan27_BRRIdhan48
50,47,48,24.64,63,7.17,90.62,27.41,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
60,46,53,24.49,32,6.49,92.98,23.57,Potato
70,68,55,22.85,36,6.51,94.64,24.33,Potato
59,62,52,23.68,40,5.52,93.11,26.21,Potato
60,58,51,42.07,27,5.15,92.92,27.48,Potato
49,54,50,25.62,30,6.83,93.18,30.97,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
68,52,49,24.43,34,6.1,92.28,27.19,Potato
50,46,52,21.18,60,7.08,90.22,28.35,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
65,63,50,21.88,42,5.59,91.33,24.41,Potato
49,55,51,24.87,43,7.13,93.91,27.67,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
59,62,49,23.36,29,7.05,93.35,28.51,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
63,58,47,26.83,51,6.27,90.75,29.45,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
70,65,52,30.42,31,5.22,93.13,24.87,Potato
63,50,52,27.65,33,5.51,93.23,26.72,Potato
63,58,50,43.04,47,5.36,94.64,23.96,Potato
45,58,49,27.11,63,5.77,90.35,31.26,BR3_BR16_BRRIdhan27_BRRIdhan48
66,69,47,23.69,43,5.46,93.61,27.67,Potato
54,67,52,25.68,54,5.97,93.31,30.2,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
69,67,52,27.72,37,5.4,94.44,26.6,Potato
67,68,49,25.27,56,5.04,92.38,25.95,Potato
45,57,47,23.17,34,6.2,90.79,30.78,BR3_BR16_BRRIdhan27_BRRIdhan48
56,50,52,23.09,41,6.33,92.25,30.83,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
70,50,53,27.46,49,5.29,90.45,23.93,Potato
44,47,45,28.73,64,6.95,94.74,30.78,BR3_BR16_BRRIdhan27_BRRIdhan48
50,60,47,22.58,47,6.06,92.75,27.55,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
52,51,53,28.38,35,7.13,93.1,28.01,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
68,69,52,25.65,57,5.56,92.75,26.72,Potato
48,62,47,25.35,38,5.89,93.03,30.78,BR3_BR16_BRRIdhan27_BRRIdhan48
49,61,45,32.77,32,5.68,94.57,28.68,BR3_BR16_BRRIdhan27_BRRIdhan48
48,57,54,27.02,48,6.89,90.2,28.9,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
69,66,49,40,34,5.01,90.17,26.57,Potato
53,55,55,33.32,31,5.05,91.25,26.7,Potato
57,64,55,26.68,47,5.32,92.96,24.17,Potato
51,57,55,24.71,59,5.07,90.15,24.64,Potato
56,65,45,38.2,36,7.02,93.97,26.81,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
54,66,52,36.57,63,6.62,93.8,29.18,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
58,55,47,26.05,43,6.78,93.69,30.47,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
68,70,54,31.3,40,5.06,92.76,27.2,Potato
56,59,55,27.04,28,5.41,91.79,27.18,Potato
133,47,24,24.4,98,7.02,79.2,24.82,Tomato
136,36,20,23.1,93,6.58,84.86,22.06,Tomato
104,47,18,23.97,97,7.07,76.98,28.88,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
133,47,23,24.89,92,6.86,75.62,22.09,Tomato
126,38,23,25.36,93,7.09,83.63,22.91,Tomato
126,50,19,24.69,98,7.09,81.74,21.86,Tomato
113,41,20,25,92,6.76,80.54,22.79,Tomato
121,45,22,22.46,94,7.06,81.31,22.73,Tomato
121,47,16,23.61,93,6.94,79.3,23.07,Tomato
129,60,22,24.58,95,6.8,79.12,21.71,Tomato
107,45,25,23.09,99,6.37,83.56,23.63,Tomato
122,59,18,23.5,99,7.06,83.63,24.94,Tomato
140,38,15,24.15,99,7.13,75.88,22.24,Tomato
102,49,21,24.69,98,7.02,84.84,30.99,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
111,40,25,24.48,97,6.54,84.45,25.07,Tomato
131,35,18,24.49,99,6.51,82.24,22.46,Tomato
135,43,16,23.48,93,6.57,81.73,22.82,Tomato
100,46,18,24.19,94,6.51,76.04,29.81,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
123,39,24,25.01,96,6.51,78.18,25.36,Tomato
117,56,15,25.99,97,6.04,77.05,21.41,Tomato
121,36,24,23.66,92,7.03,81.69,23.95,Tomato
101,58,18,25.67,96,5.77,81.38,25.4,Tomato
107,42,24,22.05,98,7.08,84.63,22.34,Tomato
100,41,22,22.42,98,6.58,84.56,26.9,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
125,39,21,25.03,90,7.02,82.21,24.86,Tomato
105,60,23,23.53,99,6.52,77.22,21.64,Tomato
102,46,19,22.77,99,7.11,82.6,29.59,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
131,49,22,25.5,98,6.01,79.98,21.2,Tomato
139,35,15,25.25,97,7.13,83.46,25.35,Tomato
108,36,19,22.78,94,6.52,77.51,26.04,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
118,45,23,23.37,91,6.59,77.43,21.16,Tomato
107,51,22,24.87,95,7.11,78.22,23.23,Tomato
125,60,17,24.14,93,6.91,84.52,24.84,Tomato
113,37,20,25.03,96,6.59,79.04,22.1,Tomato
131,52,16,23.66,87,6.98,84.48,23.13,Tomato
115,48,16,25.54,97,6.5,84.09,21.01,Tomato
113,38,25,22,89,6.45,79.47,25.56,Tomato
111,41,18,23.64,89,6.77,78.13,24.56,Tomato
111,53,19,23.96,86,7.15,78.03,25.47,Tomato
122,48,16,24.65,87,7.12,75.64,25.56,Tomato
108,46,17,24.3,80,6.99,84.88,23.92,Tomato
132,41,22,24.29,93,6.95,81.02,22.06,Tomato
103,42,17,24.29,95,5.5,84.62,29.12,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
133,50,25,25.72,94,7.1,81.2,21.17,Tomato
127,37,18,24.88,93,6.52,76.3,23.2,Tomato
110,39,25,22.61,89,7.1,77.34,23.93,Tomato
131,38,19,23.87,32,7.14,75.68,24.12,Tomato
108,38,24,23.41,37,6.11,76.44,23.91,Tomato
122,40,17,24.96,38,6.71,81.32,22.32,Tomato
111,50,15,25.17,39,7.08,80.3,22.41,Tomato
140,40,17,22.73,39,6.6,77.08,23.59,Tomato
100,40,20,22.45,32,6.08,76.26,25.44,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
123,50,16,23.05,33,6.51,75.54,21.5,Tomato
107,36,21,25.29,34,5.98,75.67,30.33,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
118,50,19,22.96,36,6.58,82.34,22.1,Tomato
103,51,20,22.8,36,7.06,84.15,25.78,Tomato
133,57,19,23.54,38,6.72,75.98,23.46,Tomato
129,47,20,24.41,37,6.47,80.8,24.67,Tomato
116,52,19,22.94,35,7.12,75.37,25.96,Tomato
114,40,23,25.54,35,6.31,81.14,23.93,Tomato
131,60,17,25.32,40,6.57,81.79,24.59,Tomato
107,43,18,22.43,46,7.13,81.53,28.41,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
123,44,21,25.79,46,7.89,75.01,25.95,Tomato
112,49,25,25.69,47,7.1,77.91,24.9,Tomato
119,44,15,22.15,47,7.09,82.86,25.07,Tomato
130,59,19,25.07,47,7.05,82.5,25.99,Tomato
127,53,24,22.22,49,6.32,76.18,22.34,Tomato
134,52,18,23.96,40,6.55,76.59,22.49,Tomato
109,36,18,25.4,49,7.11,76.53,28.88,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
100,48,17,23.78,48,5.58,83.04,29.79,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
132,52,19,24.16,44,6.6,76.74,25.01,Tomato
102,37,25,25.31,44,6.13,77.92,28.75,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
111,39,22,22.6,42,6.05,80.35,24.12,Tomato
117,51,15,22.95,41,7.14,78.72,24.13,Tomato
136,36,24,22.74,41,6.31,80.41,22.24,Tomato
134,56,18,23.81,40,6.59,83.92,24.81,Tomato
112,54,15,25.46,44,6.47,81.57,22.4,Tomato
105,56,15,25.97,45,6.58,81.98,25.55,Tomato
140,45,15,25.53,45,7.14,80.05,21.01,Tomato
126,46,25,24.44,46,6.12,81.7,25.58,Tomato
106,49,24,23.04,46,6.45,76.47,22.23,Tomato
121,53,19,23.51,49,7.08,76.73,23.21,Tomato
108,60,17,22.76,48,7.06,76.76,22.49,Tomato
116,56,17,24.71,48,6.17,77.73,25.28,Tomato
100,52,19,23.46,51,6.12,82.45,29.15,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
129,43,16,25.55,51,7.11,77.85,24.56,Tomato
118,44,23,22.08,53,7.11,82.83,25.13,Tomato
117,43,25,24.69,54,7.05,78.51,23.14,Tomato
126,37,21,25.85,52,6.98,84.17,25.79,Tomato
120,48,16,22.46,52,7.02,75.41,25.41,Tomato
102,45,16,23.66,59,6.49,77.52,29.69,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
131,56,20,22.01,58,6.6,81.84,23.5,Tomato
114,40,17,24.33,59,7.01,80.13,25.43,Tomato
101,37,18,22.92,57,7.11,82.69,26.96,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
106,46,20,23.44,58,6.6,78.63,25.01,Tomato
113,38,20,22.11,59,6.28,78.58,23.64,Tomato
102,53,21,23.04,54,7.1,76.11,23.85,Tomato
110,39,18,24.55,53,7.14,75.4,27.54,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
107,58,15,23.74,53,7.09,75.78,22.53,Tomato
120,60,15,22.32,61,6.59,83.86,21.36,Tomato
89,47,38,25.52,61,5.32,72.25,24.63,Potato
60,37,39,26.59,65,7.16,82.94,26.07,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
63,41,45,25.3,67,6.38,86.89,27.94,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
86,40,39,25.72,66,5.11,88.17,23.56,Potato
96,41,40,23.58,66,5.32,72,23.89,Potato
100,35,36,25.31,68,5.52,72.01,22.58,Potato
63,37,43,23.42,69,7.02,85.09,31,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
70,43,40,24.36,68,6.81,88.8,29.15,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
67,55,44,26.28,65,6.92,75.15,28.06,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
74,40,40,25.14,64,6.28,83.12,26.3,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
89,53,44,24.89,63,5.26,71.92,25.95,Potato
74,46,45,25.76,61,5.38,88.37,25.22,Potato
89,41,38,23.13,60,5.24,74.68,25.17,Potato
60,55,40,24.99,60,7.17,88.96,26.99,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
67,43,38,25.22,62,6.91,70.88,30.89,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
70,38,35,24.4,68,6.17,79.27,28.64,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
74,49,38,23.31,70,5.75,71.45,29.07,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
90,40,39,25.73,77,5.56,81.86,25.65,Potato
82,35,44,26.97,79,5.13,78.21,27.09,Potato
73,45,37,23.7,78,6.08,74.64,28.48,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
85,53,38,24.9,78,5.14,73.84,26.98,Potato
81,56,36,23.4,77,5.83,72.61,30.42,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
84,55,38,26.87,72,5.4,79.79,26.71,Potato
80,45,42,23.14,76,5.06,75,25.37,Potato
76,54,45,24.29,75,7.06,77.63,23.53,Potato
76,56,39,24.39,74,6.77,89.89,29.46,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
81,40,45,25.76,73,5.35,80.76,27.53,Potato
76,44,45,25.49,77,5.09,84.48,27.37,Potato
69,47,40,25.37,71,5.59,76.24,30.6,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
82,40,45,26.21,71,5.57,81.7,25.63,Potato
69,57,35,24.31,73,6.03,78.54,29.4,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
81,36,38,23.77,74,7.08,87.98,27.64,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
67,60,38,24.8,74,6.05,78.53,27.5,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
72,51,40,23.21,75,5.93,74.1,26.35,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
65,39,45,23.67,75,7.13,70.89,26.32,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
78,50,43,25.12,75,5.48,85.73,23.22,Potato
77,52,41,23.89,39,5.85,83.46,29.1,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
89,52,42,23.09,48,5.1,81.45,23.48,Potato
62,49,37,24.22,67,6.94,82.85,30.81,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
90,48,45,24.06,52,5.53,71.31,25.32,Potato
66,47,36,24.85,79,6.3,74.44,29.43,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
80,52,39,26.42,82,6,76.86,30.21,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
89,52,45,24.89,88,5.02,77.01,25.11,Potato
77,51,44,23.26,66,5.05,82.7,26.3,Potato
94,37,41,24.76,77,5.08,87.06,27.44,Potato
75,41,35,24.97,78,6.46,78.63,26.96,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
60,55,36,26.13,79,5.79,80.49,30.12,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
62,56,35,25.98,68,5.5,81.66,27.34,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
84,40,42,26.28,62,5.53,73.36,24.9,Potato
100,56,40,26.39,39,6.63,83.31,25.5,Tomato
75,56,44,25.27,90,5.32,73.75,26.93,Potato
78,46,42,23.09,91,5.13,78.46,27.35,Potato
82,48,36,25.79,47,7.28,81.77,29.78,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
100,58,41,23.17,77,6.53,87.88,21.24,Tomato
88,50,40,25.63,97,5.16,79.95,26.68,Potato
67,41,40,25.85,87,6.12,87.82,30.37,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
72,42,43,26.57,67,7.08,80.9,27.52,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
89,40,43,26.25,77,5.11,72.97,25.58,Potato
89,57,43,26.92,89,6.63,73.2,25.3,Tomato
61,41,44,24.37,99,5.66,82.11,26.39,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
79,45,43,25.72,38,5.58,79.16,25.03,Potato
84,40,43,25.01,45,5.08,88.33,24.31,Potato
98,43,35,25.41,62,5.05,76.44,27.44,Potato
75,36,44,23.28,34,5.29,74.28,24.57,Potato
89,58,35,23.99,46,6.54,82.09,25.05,Tomato
91,41,37,24.49,35,5.53,83.21,27.44,Potato
77,48,36,25.87,64,6.91,84.1,29.76,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
66,58,35,23.56,50,7.1,79.46,26.25,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
62,59,41,24.22,42,7.1,74.89,29.92,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
82,35,35,25.49,33,6.1,86.97,30.13,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
61,41,35,24.97,28,6.49,79.48,27.84,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
99,57,38,24.81,48,7.92,82.09,23.26,Tomato
70,42,43,23.17,65,6.44,76.67,29.91,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
90,59,35,24.25,41,6.67,89.86,25.55,Tomato
73,43,42,26.58,31,5.94,78.01,28.82,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
67,46,44,26.82,49,7.13,78.2,27.68,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
84,37,42,25.5,34,6.36,81.13,23.06,Potato
72,41,36,24.1,39,6.8,80.57,30.21,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
71,56,37,23.19,65,7.15,86.21,26.88,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
64,53,38,26.24,52,6.43,78.51,29.4,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
65,54,39,23.75,44,7.16,71.15,30.5,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
60,58,37,26.14,53,6.43,79.12,26.19,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
86,39,43,26.15,33,5,71.24,27.05,Potato
90,50,44,26.92,37,5.58,73.49,26.11,Potato
91,38,36,26.52,39,5.07,77.17,22.16,Potato
87,48,38,23.82,44,5.16,80.94,23.52,Potato
72,41,36,26.51,63,7.12,86.84,26.14,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
71,54,35,26.64,30,5.97,70.96,26.1,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
82,46,41,23.33,32,6.11,79.8,26.46,Potato
71,52,43,26.48,36,5.81,73.96,30.65,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
80,43,43,23.79,40,5.39,74.37,25.19,Potato
77,55,43,25.5,27,5.37,76,23.91,Potato
95,57,41,23.25,38,6.57,73.65,25.21,Tomato
63,47,35,26.99,38,7.11,89.06,26.56,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
93,43,38,23.61,48,5.45,86.14,25.84,Potato
87,44,43,23.87,35,5.18,86.79,25.37,Potato
88,52,39,23.93,61,5.27,88.07,24.37,Potato
90,39,37,24.81,37,5.15,81.69,24.55,Potato
90,39,43,24.45,26,5.14,82.29,26.37,Potato
84,38,43,26.57,34,5.59,73.82,25.84,Potato
91,21,26,26.33,30,5.65,57.36,27.38,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
107,21,26,26.45,58,6.09,55.32,26.34,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
83,38,35,25.71,34,6.94,52.89,28.53,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
108,24,31,24.13,60,5.03,56.18,25.37,Potato
116,28,34,23.44,42,7.15,60.4,22.38,Tomato
116,23,25,23.41,48,5.54,52.27,24.94,Potato
109,31,27,23.06,32,5.53,50.41,25.55,Potato
89,25,34,23.08,43,7.13,63.66,23.06,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
118,18,32,27.65,29,5.48,51.11,23.36,Potato
111,32,34,25.47,51,6.6,69.35,22.34,Tomato
84,36,28,26.74,31,7,55.55,28.32,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
85,33,25,26.21,33,7.08,52.51,27.42,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
99,15,27,27.04,38,7.13,57.28,28.83,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
81,30,31,24.65,47,5.86,51.94,26.21,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
95,39,29,27.35,63,5.64,55.99,29.63,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
81,34,30,25.18,43,7.12,62.26,28.96,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
80,15,28,23.11,54,5.83,68,29.47,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
104,20,26,27.23,37,6.38,52.95,27.76,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
109,29,28,23.26,56,7.12,60.52,27.93,Potato
100,32,26,25.23,34,6.52,57.53,26.45,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
100,24,28,25.6,41,5.66,57.73,27.37,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
83,21,28,25.57,49,6.21,60.49,28.8,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
120,23,28,25.67,64,7.5,51.29,25.48,Tomato
104,26,30,24.41,47,5.02,62.66,26.01,Potato
108,33,31,23.69,35,5.21,66.76,25.75,Potato
91,25,26,24.53,62,6.08,67,28.7,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
86,26,27,27.13,57,6.11,52.89,27.69,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
98,18,27,27.56,55,7.02,68.49,30.75,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
111,27,31,23.59,40,7.12,55.28,26.51,Potato
84,39,35,23.18,38,7.01,52.14,29.2,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
98,27,27,24.71,39,7.05,51.29,30.41,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
118,21,34,24.39,32,5.59,64.73,27.32,Potato
103,27,31,27.16,48,5.31,51.59,27.95,Potato
82,24,33,26.54,34,6.76,67.1,26.32,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
86,31,35,27.01,31,5.83,60.77,27.93,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
88,35,35,27.56,42,6.19,58.46,28.43,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
84,27,29,23.32,47,7.07,53,26.38,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
120,40,33,24.24,59,6.6,54.3,23.32,Tomato
106,40,30,23.43,36,6.57,64.11,22.17,Tomato
113,21,33,26.02,63,5.53,55.83,24.35,Potato
117,34,25,24.84,43,7.17,56.77,23.48,Tomato
80,30,25,26.24,40,7.01,65.64,23.41,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
88,21,27,24.43,65,7.01,66.02,22.45,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
113,33,34,26,59,6.88,62.14,23.08,Tomato
87,23,28,26.22,44,7.07,62.27,28.45,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
113,15,29,27.1,28,5.39,63.55,25.4,Potato
98,29,30,25.64,30,7.04,61.03,30.71,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
97,29,27,27.75,30,6.65,54.37,26.85,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
85,35,32,26.25,50,6.36,54.29,29.68,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
82,29,35,26.67,61,6.13,52.24,30.89,BRRIdhan28_BRRIdhan29_BRRIdhan100_BRRIdhan92
